ProductRelease,RecordType,KB,BuildNumber,Component,ReleaseLabel,ReleaseDate,DatePrecision,BuildScope,Source,SourcePriority,SourceUrl,KBUrl,RetrievedOn
SE,KB,KB5002908,16.0.20326.20136,SharePoint Server Subscription Edition,8-Sep-26,2026-09-08,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002908,2026-09-24
SE,KB,KB5002893,16.0.19725.20522,SharePoint Server Subscription Edition,11-Aug-26,2026-08-11,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002893,2026-09-24
SE,KB,KB5002882,16.0.19725.20434,SharePoint Server Subscription Edition,14-Jul-26,2026-07-14,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002882,2026-09-24
SE,KB,KB5002873,16.0.19725.20384,SharePoint Server Subscription Edition,9-Jun-26,2026-06-09,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002873,2026-09-24
SE,KB,KB5002863,16.0.19725.20280,SharePoint Server Subscription Edition,12-May-26,2026-05-12,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002863,2026-09-24
SE,KB,KB5002853,16.0.19725.20210,SharePoint Server Subscription Edition,14-Apr-26,2026-04-14,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002853,2026-09-24
SE,KB,KB5002843,16.0.19725.20076,SharePoint Server Subscription Edition,10-Mar-26,2026-03-10,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002843,2026-09-24
SE,KB,KB5002833,16.0.19127.20518,SharePoint Server Subscription Edition,10-Feb-26,2026-02-10,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002833,2026-09-24
SE,KB,KB5002822,16.0.19127.20442,SharePoint Server Subscription Edition,13-Jan-26,2026-01-13,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002822,2026-09-24
SE,KB,KB5002815,16.0.19127.20378,SharePoint Server Subscription Edition,9-Dec-25,2025-12-09,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002815,2026-09-24
SE,KB,KB5002800,16.0.19127.20338,SharePoint Server Subscription Edition,11-Nov-25,2025-11-11,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002800,2026-09-24
SE,KB,KB5002786,16.0.19127.20262,SharePoint Server Subscription Edition,14-Oct-25,2025-10-14,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002786,2026-09-24
SE,KB,KB5002784,16.0.19127.20100,SharePoint Server Subscription Edition,9-Sep-25,2025-09-09,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002784,2026-09-24
SE,KB,KB5002773,16.0.18526.20518,SharePoint Server Subscription Edition,12-Aug-25,2025-08-12,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002773,2026-09-24
SE,KB,KB5002768,16.0.18526.20508,SharePoint Server Subscription Edition,21-Jul-25,2025-07-21,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002768,2026-09-24
SE,KB,KB5002751,16.0.18526.20424,SharePoint Server Subscription Edition,8-Jul-25,2025-07-08,day,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002751,2026-09-24
SE,KB,KB5002736,16.0.18526.20396,SharePoint Server Subscription Edition,25-Jun,2025-06-01,month,PackageEntry,Microsoft Learn,1,https://learn.microsoft.com/en-us/officeupdates/sharepoint-updates,https://support.microsoft.com/help/5002736,2026-09-24
